station_j,station_k,dist,state_class,n_days,n_sw_j,n_sw_k,n_joint,expected_joint,ratio_emp,ratio,rho_hat
SORIA,ZAMORA,0.28602326941769207,dry-wet,311,189,94,32,16.44744933744942,0.5601711133626027,1.9455904282458416,-0.22086403792391376
TARIFA,TAVIRA,0.23371139465298946,dry-dry,502,9,6,3,0.1802925274689863,27.88888888888889,16.639624737170852,0.8317321504094511
TARIFA,TORREVIEJA,0.5035343283423817,dry-dry,656,11,18,0,0.3712308056434493,0.0,0.0,-0.9386912685060864
TARIFA,VALENCIA,0.6570002662509301,dry-dry,593,9,39,1,0.7620954810229179,1.6894586894586894,1.3121715387391568,0.05224456161632884
TARIFA,VALENCIA,0.6570002662509301,dry-wet,109,25,63,4,2.338202338280734,0.2768253968253968,1.7107159352775156,-0.21013089078949787
TARIFA,VANDELLOS,0.879028790191711,dry-dry,800,13,44,2,1.266543847722736,2.797202797202797,1.5791004816738312,0.2591200372196056
TARIFA,VIMIANZO,1.0057925961274885,dry-dry,737,11,130,3,2.3297977283249645,1.5461538461538462,1.2876654327227306,0.10547644137381933
TARIFA,VIMIANZO,1.0057925961274885,dry-wet,305,24,153,6,5.398602672066981,0.49836601307189543,1.111398701564892,-0.20997410280306553
TARIFA,ZAMORA,0.7497254706559883,dry-dry,686,7,49,1,0.9317403380276041,2.0,1.0732603915345067,0.13764168637861438
TARIFA,ZAMORA,0.7497254706559883,dry-wet,116,20,76,5,2.359284485118576,0.3815789473684211,2.1192866021618,-0.27485249006803425
TAVIRA,TORREVIEJA,0.6168635454163104,dry-dry,470,9,14,1,0.26612549087202014,3.7301587301587302,3.7576257604007592,0.2947813547732102
TAVIRA,VALENCIA,0.7126063708431614,dry-dry,263,4,18,1,0.3426848789694117,3.6527777777777777,2.9181328426494733,0.3445390707707421
TAVIRA,VANDELLOS,0.909408908844793,dry-dry,667,10,56,1,1.037334314527809,1.1910714285714286,0.964009370937658,0.024857867351040057
TAVIRA,VANDELLOS,0.909408908844793,dry-wet,111,15,73,5,2.50250147393082,0.5068493150684932,1.9980008212127918,0.9989939488802301
TAVIRA,VIMIANZO,0.8185955372841867,dry-dry,442,6,79,1,1.3646353823316486,0.9324894514767933,0.7327964765880364,-0.04271916140282627
TAVIRA,VIMIANZO,0.8185955372841867,dry-wet,186,16,85,3,3.2963534302825135,0.4102941176470588,0.9100965850445489,-0.19646581131119958
TAVIRA,ZAMORA,0.6222297580133931,dry-dry,332,3,35,1,0.47988605174351684,3.1619047619047618,2.0838280178530106,0.19348602414727653
TORREVIEJA,VALENCIA,0.20706499446507884,dry-dry,748,11,52,7,1.4923242761713407,9.153846153846153,4.690669522551074,0.6769252483108584
TORREVIEJA,VANDELLOS,0.4290136451479065,dry-dry,1032,17,75,2,2.538412812833596,1.6188235294117648,0.7878939114585649,0.12812668007788774
TORREVIEJA,VANDELLOS,0.4290136451479065,dry-wet,143,33,96,9,4.764989172725771,0.40625,1.8887765897800828,-0.2907585423238977
TORREVIEJA,VIMIANZO,1.0042368477524628,dry-dry,957,20,175,2,4.605331550889888,0.5468571428571428,0.4342792647824759,-0.1722665356818259
TORREVIEJA,VIMIANZO,1.0042368477524628,dry-wet,457,41,187,9,11.589860379830991,0.5364549367418808,0.7765408473480888,0.12994014829816675
TORREVIEJA,ZAMORA,0.6517466284800268,dry-dry,970,18,75,5,1.9872742355800908,3.5925925925925926,2.5160090693474353,0.3333892276618759
TORREVIEJA,ZAMORA,0.6517466284800268,dry-wet,169,40,95,8,5.004174064997966,0.35578947368421054,1.5986654133309512,0.11233909919995545
VALENCIA,VANDELLOS,0.22846843421513238,dry-dry,984,65,66,19,5.416123931873194,4.358041958041958,3.5080438038331136,0.5304991416603422
VALENCIA,VANDELLOS,0.22846843421513238,dry-wet,167,82,73,13,8.816677609144685,0.3626795856999666,1.474478321234788,-0.3008363057539449
VALENCIA,VIMIANZO,0.900789149244246,dry-dry,1030,66,193,10,11.099005008623585,0.8086041764798242,0.9009816638726,-0.08800988991057881
VALENCIA,VIMIANZO,0.900789149244246,dry-wet,586,134,224,32,27.834838128346185,0.6247334754797441,1.1496384441845249,0.05618131608296378
VALENCIA,ZAMORA,0.5444539354972004,dry-dry,1123,73,80,12,5.092166547104254,2.3075342465753423,2.356560785865105,0.2663705971064545
VALENCIA,ZAMORA,0.5444539354972004,dry-wet,248,116,91,11,10.930564672213514,0.25843122394846535,1.006352400801671,-0.33230172224155863
VANDELLOS,VIMIANZO,0.9116204829636099,dry-dry,1203,87,212,16,16.537517010761256,1.0435914118412493,0.9674971151708274,0.021191018087707306
VANDELLOS,VIMIANZO,0.9116204829636099,dry-wet,639,154,252,40,34.99817059889904,0.6586270871985158,1.1429168815257535,-0.08222459378046869
VANDELLOS,ZAMORA,0.5815641533755557,dry-dry,1214,80,77,8,7.072439031529517,1.5766233766233766,1.1311514972890313,0.14943021633020828
