station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
AMARANTE,CAMPDEVANOL,dry-dry,855.3351234711791,701,263,12,0.22766879740285847,855.3351234711791,701,701,16,0.18558999767971432
AMARANTE,CAMPDEVANOL,dry-wet,855.3351234711791,520,184,13,-0.20716516852188602,855.3351234711791,520,481,20,-0.1810466764187735
AMARANTE,CAMPDEVANOL,wet-wet,855.3351234711791,223,132,6,0.1318888383422817,855.3351234711791,223,202,7,0.1406286945523193
AMARANTE,CUENCA,dry-dry,518.2801219233589,744,284,13,0.30143897492773275,518.2801219233589,744,744,16,0.3116654381645893
AMARANTE,CUENCA,dry-wet,518.2801219233589,438,184,13,-0.37184148577315296,518.2801219233589,438,387,16,-0.32895224353641156
AMARANTE,CUENCA,wet-wet,518.2801219233589,301,190,9,0.26072589427534226,518.2801219233589,301,273,9,0.20613309373771802
AMARANTE,DAROCA,dry-dry,557.4078630193003,594,196,9,0.27796079773332716,557.4078630193003,594,573,15,0.2505856843845727
AMARANTE,DAROCA,dry-wet,557.4078630193003,395,139,9,-0.1770152245441335,557.4078630193003,395,363,18,-0.21108325474346304
AMARANTE,DAROCA,wet-wet,557.4078630193003,203,112,5,0.07180990333901606,557.4078630193003,203,177,6,0.08431273269284714
AMARANTE,EXTREMO,dry-dry,83.62039509843535,841,507,18,0.6309821310267002,83.62039509843535,841,819,12,0.6258487740941195
AMARANTE,EXTREMO,dry-wet,83.62039509843535,247,111,8,-0.5995977845798327,83.62039509843535,247,185,9,-0.6235315861005225
AMARANTE,EXTREMO,wet-wet,83.62039509843535,588,371,11,0.5465652664442242,83.62039509843535,588,565,11,0.5598275811993061
AMARANTE,GETAFE,dry-dry,381.6142805359026,526,162,8,0.3042356627097368,381.6142805359026,526,505,13,0.23992911003426606
AMARANTE,GETAFE,dry-wet,381.6142805359026,373,134,9,-0.2649421693723785,381.6142805359026,373,325,15,-0.23144147386493535
AMARANTE,GETAFE,wet-wet,381.6142805359026,199,106,5,0.3337133653476576,381.6142805359026,199,161,6,0.20206169756110273
AMARANTE,LORCA,dry-dry,679.3174001407024,705,53,4,0.08406739996955946,679.3174001407024,705,688,15,0.07806716459280455
AMARANTE,LORCA,dry-wet,679.3174001407024,597,92,7,0.08786925697110391,679.3174001407024,597,536,19,0.03695221690603431
AMARANTE,LORCA,wet-wet,679.3174001407024,75,35,2,0.08081312860700018,679.3174001407024,75,44,2,-0.0921625089927086
AMARANTE,MONTSERRAT,dry-dry,826.4334290093525,730,237,13,0.18545253398566905,826.4334290093525,730,718,15,0.24293160609121697
AMARANTE,MONTSERRAT,dry-wet,826.4334290093525,517,163,10,-0.3381329930253346,826.4334290093525,517,469,20,-0.18593826348278666
AMARANTE,MONTSERRAT,wet-wet,826.4334290093525,186,125,6,0.15948510316471773,826.4334290093525,186,167,6,0.13940082268603965
AMARANTE,OURENSE,dry-dry,118.63261093482076,446,202,6,0.31294655676819294,118.63261093482076,446,360,7,0.233836317711469
