station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
ALACANT/ALICANTE,CADIZ,wet-wet,549.7244310931843,128,78,3,0.012322382669103597,549.7244310931843,128,97,3,0.09404164683038048
ALACANT/ALICANTE,CAMPDEVANOL,dry-dry,483.90656470772444,850,333,15,0.24822630629566897,483.90656470772444,850,840,14,0.22938204332680057
ALACANT/ALICANTE,CAMPDEVANOL,dry-wet,483.90656470772444,519,247,13,-0.1375212749159897,483.90656470772444,519,485,15,-0.13927356514497102
ALACANT/ALICANTE,CAMPDEVANOL,wet-wet,483.90656470772444,195,154,5,0.07440017847663657,483.90656470772444,195,168,4,0.10697741527017851
ALACANT/ALICANTE,CUENCA,dry-dry,235.359069323701,1063,415,15,0.25147986316519977,235.359069323701,1063,1045,15,0.24120268771563644
ALACANT/ALICANTE,CUENCA,dry-wet,235.359069323701,504,211,12,-0.28970048924225805,235.359069323701,504,451,15,-0.21565837429116252
ALACANT/ALICANTE,CUENCA,wet-wet,235.359069323701,232,176,6,0.25353343115689353,235.359069323701,232,218,6,0.20713975764798326
ALACANT/ALICANTE,DAROCA,dry-dry,314.74959747928835,893,304,14,0.41509705040074074,314.74959747928835,893,872,14,0.31570105094393536
ALACANT/ALICANTE,DAROCA,dry-wet,314.74959747928835,410,177,11,-0.29609879005351775,314.74959747928835,410,366,15,-0.18779832408067013
ALACANT/ALICANTE,DAROCA,wet-wet,314.74959747928835,173,116,3,0.2067414043913722,314.74959747928835,173,157,5,0.188390276599665
ALACANT/ALICANTE,EXTREMO,dry-dry,785.917196969032,490,75,4,0.051015559671943114,785.917196969032,490,490,16,0.09431380983178998
ALACANT/ALICANTE,EXTREMO,dry-wet,785.917196969032,541,118,8,0.09535073854991444,785.917196969032,541,490,21,0.0263622574545018
ALACANT/ALICANTE,EXTREMO,wet-wet,785.917196969032,104,41,2,0.060962868390096986,785.917196969032,104,88,5,-0.11504474693625433
ALACANT/ALICANTE,GETAFE,dry-dry,350.6111409533631,847,310,15,0.3407024481644227,350.6111409533631,847,831,15,0.2370254421277708
ALACANT/ALICANTE,GETAFE,dry-wet,350.6111409533631,391,146,8,-0.2575309694970639,350.6111409533631,391,351,15,-0.1830953091547362
ALACANT/ALICANTE,GETAFE,wet-wet,350.6111409533631,172,114,4,0.1567121780424398,350.6111409533631,172,165,6,0.162154085516041
ALACANT/ALICANTE,LORCA,dry-dry,131.50609021423713,1438,621,19,0.5090246765287437,131.50609021423713,1438,1438,16,0.4460113549538116
ALACANT/ALICANTE,LORCA,dry-wet,131.50609021423713,249,83,6,-0.4851825420395166,131.50609021423713,249,194,8,-0.522322041328811
ALACANT/ALICANTE,LORCA,wet-wet,131.50609021423713,211,173,4,0.45711831817465415,131.50609021423713,211,199,4,0.42909694424829065
ALACANT/ALICANTE,MONTSERRAT,dry-dry,409.6572976142475,1106,424,18,0.36708041436030936,409.6572976142475,1106,1106,16,0.29927381211545256
ALACANT/ALICANTE,MONTSERRAT,dry-wet,409.6572976142475,422,166,7,-0.2334894056006048,409.6572976142475,422,392,15,-0.21748348667399386
ALACANT/ALICANTE,MONTSERRAT,wet-wet,409.6572976142475,180,143,5,0.1899262449841885,409.6572976142475,180,164,4,0.15873204817558853
ALACANT/ALICANTE,OURENSE,dry-dry,762.920366146825,641,172,11,0.2033422762138569,762.920366146825,641,602,14,0.051252792349022136
ALACANT/ALICANTE,OURENSE,dry-wet,762.920366146825,631,286,17,0.062483155156056146,762.920366146825,631,582,19,-0.03350182270188
ALACANT/ALICANTE,OURENSE,wet-wet,762.920366146825,127,68,3,0.037141611820991176,762.920366146825,127,97,4,-0.01402228418752848
ALACANT/ALICANTE,OVIEDO,dry-dry,714.7849823242314,687,254,13,-0.011108291815386953,714.7849823242314,687,673,14,0.06119710170460668
ALACANT/ALICANTE,OVIEDO,dry-wet,714.7849823242314,700,325,18,-0.1598409070232884,714.7849823242314,700,651,17,-0.1654108871738651
ALACANT/ALICANTE,OVIEDO,wet-wet,714.7849823242314,194,123,5,-0.15565503692480956,714.7849823242314,194,178,6,-0.14927117697988693
ALACANT/ALICANTE,PAMPLONA,dry-dry,503.62547941199756,784,237,11,0.22631285917225402,503.62547941199756,784,758,15,0.15822381507645505
ALACANT/ALICANTE,PAMPLONA,dry-wet,503.62547941199756,545,227,13,-0.15176699542898334,503.62547941199756,545,521,17,-0.1602534007211889
ALACANT/ALICANTE,PAMPLONA,wet-wet,503.62547941199756,157,119,5,-0.09567868474967049,503.62547941199756,157,145,5,-0.033527760442872506
ALACANT/ALICANTE,PONFERRADA,dry-dry,695.3522209424913,715,141,7,0.07449548554936605,695.3522209424913,715,658,15,0.10024650689682411
ALACANT/ALICANTE,PONFERRADA,dry-wet,695.3522209424913,566,177,10,0.10065153061543199,695.3522209424913,566,533,19,0.04058149745184819
ALACANT/ALICANTE,PONFERRADA,wet-wet,695.3522209424913,113,63,3,-0.07564790546515734,695.3522209424913,113,98,5,0.006145764121436877
ALACANT/ALICANTE,PORTO,dry-dry,767.6557535721732,820,212,14,-0.05231549465334761,767.6557535721732,820,820,16,-0.03511225874912476
ALACANT/ALICANTE,PORTO,dry-wet,767.6557535721732,708,292,16,0.10059204441069117,767.6557535721732,708,658,20,0.0991172853691255
ALACANT/ALICANTE,PORTO,wet-wet,767.6557535721732,101,56,3,-0.07657544527472139,767.6557535721732,101,92,5,-0.17129231302741843
ALACANT/ALICANTE,SORIA,dry-dry,414.431919387457,692,253,12,0.15124421513008465,414.431919387457,692,655,15,0.1109082043651704
ALACANT/ALICANTE,SORIA,dry-wet,414.431919387457,510,230,15,-0.22000459986156018,414.431919387457,510,465,17,-0.17845060375770133
