station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
BARCELOS,CADIZ,dry-dry,595.3643399439889,583,144,8,0.187240831798357,595.3643399439889,583,575,15,0.22689559163464418
BARCELOS,CADIZ,dry-wet,595.3643399439889,464,131,9,-0.024902557791467255,595.3643399439889,464,436,21,-0.1351265256466117
BARCELOS,CADIZ,wet-wet,595.3643399439889,276,125,8,0.18537098549596248,595.3643399439889,276,225,9,0.1729569098698752
BARCELOS,CAMPDEVANOL,dry-dry,895.7864620392419,651,113,6,0.27086736034262626,895.7864620392419,651,616,13,0.26166076362460405
BARCELOS,CAMPDEVANOL,dry-wet,895.7864620392419,500,97,7,-0.11488191697140192,895.7864620392419,500,413,17,-0.1818178230788847
BARCELOS,CAMPDEVANOL,wet-wet,895.7864620392419,181,67,3,0.21698487498678784,895.7864620392419,181,158,7,0.1745474679813745
BARCELOS,CUENCA,dry-dry,569.6889276503039,723,185,9,0.3958736023048271,569.6889276503039,723,706,14,0.37069961647947863
BARCELOS,CUENCA,dry-wet,569.6889276503039,494,134,8,-0.17710828739738974,569.6889276503039,494,456,18,-0.24335191207217086
BARCELOS,CUENCA,wet-wet,569.6889276503039,357,161,6,0.13162802510765845,569.6889276503039,357,317,10,0.2335310594778051
BARCELOS,DAROCA,dry-dry,603.6694309161289,550,147,7,0.1994286054474383,603.6694309161289,550,509,13,0.2886728027721487
BARCELOS,DAROCA,dry-wet,603.6694309161289,393,114,8,-0.23864692140480426,603.6694309161289,393,336,15,-0.2315835386263964
BARCELOS,DAROCA,wet-wet,603.6694309161289,196,95,4,0.19516206844754264,603.6694309161289,196,181,7,0.2162914216483555
BARCELOS,EXTREMO,dry-dry,49.40102682945533,866,605,16,0.7792946737385844,49.40102682945533,866,821,9,0.8169675967818708
BARCELOS,EXTREMO,dry-wet,49.40102682945533,173,46,4,-0.6426236261590683,49.40102682945533,173,104,7,-0.6253517023325071
BARCELOS,EXTREMO,wet-wet,49.40102682945533,752,488,10,0.6348409859596252,49.40102682945533,752,727,11,0.6861039221130552
BARCELOS,GETAFE,dry-dry,433.6385065645445,586,142,7,0.27235434376586914,433.6385065645445,586,553,11,0.3616015447194659
BARCELOS,GETAFE,dry-wet,433.6385065645445,402,123,8,-0.3043969379232901,433.6385065645445,402,340,15,-0.21740822925573544
BARCELOS,GETAFE,wet-wet,433.6385065645445,261,118,6,-0.02670371313454415,433.6385065645445,261,232,9,0.13068926319907312
