station_j,station_k,dist,n_days,agree,agree_indep
LORCA,SORIA,463.21138692365764,13260,0.7282805429864253,0.6940170969559069
LORCA,TARIFA,393.000828128321,13179,0.8365581607102208,0.7741609216327213
LORCA,TORREVIEJA,92.9629128265286,10721,0.9231414979945901,0.8287672113681787
LORCA,VALENCIA,233.25734632832993,13692,0.8751825883727724,0.7916565396587616
LORCA,VANDELLOS,428.19478759397066,11280,0.8424645390070922,0.7936855538958363
LORCA,VIMIANZO,865.2869295532565,13810,0.52302679217958,0.5375595907183405
LORCA,ZAMORA,551.8402907324325,13917,0.7644607314794856,0.7422457129183423
MONTSERRAT,OURENSE,805.6077124931321,13179,0.6724334167994537,0.621454183136268
MONTSERRAT,OVIEDO,661.86942974353,13509,0.6387593456214375,0.5648802603407858
MONTSERRAT,PAMPLONA,317.04551951128434,12418,0.7162989209212434,0.626004594754379
MONTSERRAT,PONFERRADA,704.4850567179411,13435,0.6882024562709341,0.6363756801284357
MONTSERRAT,PORTO,877.5041047929506,10816,0.6585613905325444,0.623204370174026
MONTSERRAT,SORIA,359.45237758100865,13304,0.7612748045700541,0.6541966427905432
MONTSERRAT,TARIFA,894.0073536859612,13142,0.785344696393243,0.7118757572886034
MONTSERRAT,TORREVIEJA,457.3761585560558,10755,0.8110646211064622,0.7570749707570297
MONTSERRAT,VALENCIA,299.9337136524067,13724,0.8348149227630428,0.7316642589332631
MONTSERRAT,VANDELLOS,107.44072374644497,11235,0.8740542946150422,0.73364102677737
MONTSERRAT,VIMIANZO,908.9071491485759,13797,0.5635283032543307,0.5272872129851036
MONTSERRAT,ZAMORA,630.124864241534,13903,0.7519240451701071,0.6910137734598455
OURENSE,OVIEDO,198.1392317490295,12916,0.7486838030349954,0.5493535871730388
OURENSE,PAMPLONA,512.2711108548466,11936,0.7391085790884718,0.586532197445286
OURENSE,PONFERRADA,106.6932085028858,12948,0.9043095458758109,0.5940632090252079
OURENSE,PORTO,139.29882883035052,10371,0.8822678623083599,0.5918429812326034
OURENSE,SORIA,448.04142990230656,12719,0.782687318185392,0.5994754277676152
OURENSE,TARIFA,728.2696456458681,12506,0.7304493842955382,0.6428822565017581
OURENSE,TORREVIEJA,776.0168458727076,10313,0.6571317754290701,0.6584031266040472
OURENSE,VALENCIA,704.3620695761358,13046,0.6534569983136593,0.6406613612614454
OURENSE,VANDELLOS,740.909536391108,10672,0.6800974512743628,0.6361244481481834
OURENSE,VIMIANZO,126.663815929313,13144,0.7910833840535606,0.539774601635392
OURENSE,ZAMORA,197.46051121987787,13278,0.8242958276848923,0.6241329067390745
OVIEDO,PAMPLONA,349.0842283939773,12159,0.7565589275433835,0.5446764304068294
OVIEDO,PONFERRADA,105.7779788780367,13176,0.7689738919247116,0.551182251021156
OVIEDO,PORTO,329.9069465626056,10696,0.6923148840688108,0.5479799202531962
OVIEDO,SORIA,328.47142618303815,12984,0.7252772643253235,0.5561207356617491
OVIEDO,TARIFA,816.4177169560978,12831,0.6335437612033357,0.5728684154681173
OVIEDO,TORREVIEJA,739.2844742188854,10635,0.598589562764457,0.5859992081043055
OVIEDO,VALENCIA,629.29788286108,13366,0.6029477779440371,0.5760217318564335
OVIEDO,VANDELLOS,616.2749053789473,11019,0.6270078954533079,0.5718964230293321
OVIEDO,VIMIANZO,259.2087761058383,13465,0.7082807278128481,0.5159360746875435
OVIEDO,ZAMORA,204.63855112905523,13597,0.6965507097153784,0.5654050737390558
PAMPLONA,PONFERRADA,406.46655924264945,12139,0.7604415520224072,0.5953480426350097
PAMPLONA,PORTO,607.5222615218898,9390,0.7007454739084132,0.5843739175612463
PAMPLONA,SORIA,135.18321493711682,11935,0.8147465437788018,0.6011852721731866
PAMPLONA,TARIFA,829.2910260139029,11742,0.7135922330097088,0.6400794334732752
PAMPLONA,TORREVIEJA,543.9662574703891,9328,0.6679888507718696,0.6563168795095459
PAMPLONA,VALENCIA,386.0425260268582,12335,0.687393595460073,0.6438184375380395
PAMPLONA,VANDELLOS,293.08502405862976,9886,0.7146469755209387,0.6365338708959325
PAMPLONA,VIMIANZO,603.493403223551,12452,0.6778027626084163,0.5280987492317811
PAMPLONA,ZAMORA,367.3654725601395,12569,0.743416341793301,0.6223253175063574
PONFERRADA,PORTO,227.03305237919082,10544,0.853850531107739,0.5957810741570924
PONFERRADA,SORIA,350.40778284497753,12951,0.8089722801328083,0.6082537364646203
PONFERRADA,TARIFA,733.389308612728,12757,0.7403778317786314,0.6543935085938392
PONFERRADA,TORREVIEJA,713.6574189462601,10482,0.6750620110665904,0.6721717957304821
PONFERRADA,VALENCIA,625.051834320131,13310,0.6746806912096168,0.6567663147505725
PONFERRADA,VANDELLOS,644.6636540795565,10921,0.7001190367182493,0.6505573886741165
PONFERRADA,VIMIANZO,206.98289332004413,13394,0.758324622965507,0.5364185722542236
PONFERRADA,ZAMORA,136.70197868466016,13547,0.8522920203735145,0.6365765138845573
PORTO,SORIA,519.3726033462698,10518,0.7475755847119224,0.6027905834335938
