station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
MONTSERRAT,VALENCIA,dry-wet,299.9337136524067,264,89,6,-0.3079189618203153,299.9337136524067,264,240,11,-0.23865038154532112
MONTSERRAT,VALENCIA,wet-wet,299.9337136524067,90,72,3,0.1094873478499461,299.9337136524067,90,88,4,0.0912377337902991
MONTSERRAT,VANDELLOS,dry-dry,107.44072374644497,1372,267,10,0.4548275825341993,107.44072374644497,1372,1259,12,0.3664002490890639
MONTSERRAT,VANDELLOS,dry-wet,107.44072374644497,262,73,5,-0.18744706580282472,107.44072374644497,262,222,10,-0.1402747144952866
MONTSERRAT,VANDELLOS,wet-wet,107.44072374644497,108,84,2,0.3022274295911287,107.44072374644497,108,98,3,0.3244116341167674
MONTSERRAT,VIMIANZO,dry-dry,908.9071491485759,1381,435,22,-0.060544654744559,908.9071491485759,1381,1381,16,-0.00929741663654785
MONTSERRAT,VIMIANZO,dry-wet,908.9071491485759,833,394,20,0.007714122551305181,908.9071491485759,833,793,19,-0.032868588091624816
MONTSERRAT,VIMIANZO,wet-wet,908.9071491485759,116,82,4,-0.02332713337424564,908.9071491485759,116,99,4,-0.03681380098665911
MONTSERRAT,ZAMORA,dry-dry,630.124864241534,1444,176,9,0.13414498130865296,630.124864241534,1444,1444,16,0.0021233509864052717
MONTSERRAT,ZAMORA,dry-wet,630.124864241534,410,101,6,-0.21405511772366623,630.124864241534,410,383,14,-0.11408766564543085
MONTSERRAT,ZAMORA,wet-wet,630.124864241534,58,47,3,-0.19826606063366592,630.124864241534,58,52,3,-0.18936203443236413
OURENSE,OVIEDO,dry-dry,198.1392317490295,769,303,13,0.3552572117950039,198.1392317490295,769,746,12,0.3065751414668418
OURENSE,OVIEDO,dry-wet,198.1392317490295,360,98,6,-0.1914910953341534,198.1392317490295,360,321,12,-0.2817376087244175
OURENSE,OVIEDO,wet-wet,198.1392317490295,187,133,4,0.2964902061305793,198.1392317490295,187,168,5,0.2441304910738537
OURENSE,PAMPLONA,dry-dry,512.2711108548466,754,157,9,0.045027506703805696,512.2711108548466,754,686,13,0.08507041002343295
OURENSE,PAMPLONA,dry-wet,512.2711108548466,269,62,3,-0.15795944142919435,512.2711108548466,269,241,13,-0.10769955190960358
OURENSE,PAMPLONA,wet-wet,512.2711108548466,93,62,3,0.14158273276397051,512.2711108548466,93,70,3,0.14794523927309186
OURENSE,PONFERRADA,dry-dry,106.6932085028858,886,474,14,0.6839983882230215,106.6932085028858,886,797,9,0.6455424797109406
OURENSE,PONFERRADA,dry-wet,106.6932085028858,122,15,1,-0.681385143869247,106.6932085028858,122,75,5,-0.6400949200002048
OURENSE,PONFERRADA,wet-wet,106.6932085028858,190,149,4,0.7120075197083886,106.6932085028858,190,178,5,0.6750056900860465
OURENSE,PORTO,dry-dry,139.29882883035052,1099,366,12,0.557337523435932,139.29882883035052,1099,1070,13,0.4666719827574936
OURENSE,PORTO,dry-wet,139.29882883035052,150,0,0,,139.29882883035052,150,101,6,-0.551411690928174
OURENSE,PORTO,wet-wet,139.29882883035052,170,116,3,0.6137471761764545,139.29882883035052,170,146,4,0.6088960484485191
OURENSE,SORIA,dry-dry,448.04142990230656,889,183,10,0.22814227962437905,448.04142990230656,889,850,15,0.16382180757794781
OURENSE,SORIA,dry-wet,448.04142990230656,329,110,7,-0.15894674607349144,448.04142990230656,329,263,11,-0.08109346952891487
OURENSE,SORIA,wet-wet,448.04142990230656,86,56,3,0.194731667329952,448.04142990230656,86,78,4,0.04119178416911993
OURENSE,TARIFA,dry-dry,728.2696456458681,646,0,0,,728.2696456458681,646,305,3,0.12991930362221138
OURENSE,TARIFA,dry-wet,728.2696456458681,108,0,0,,728.2696456458681,108,54,2,-0.15212920495944715
OURENSE,TARIFA,wet-wet,728.2696456458681,21,0,0,,728.2696456458681,21,0,0,
OURENSE,TORREVIEJA,dry-dry,776.0168458727076,726,0,0,,776.0168458727076,726,611,5,0.01145588264323311
