data_source,f_1,kappa,sigma,xi
BRINDISI all,0.23102866779089376,0.8918878383459473,6.887214508582025,0.22952284544215537
BRINDISI spring,0.2015873015873016,0.8164269062889863,8.087497009382474,0.13968681225876536
BRINDISI summer,0.09191176470588236,0.9264302466201423,15.498779223291624,0.1430215471986034
BRINDISI autumn,0.22555205047318613,0.889860049182704,7.376342121806841,-0.009104097686154722
BRINDISI winter,0.3026315789473684,0.8822370701520513,5.033399174298962,0.0674191787764315
BUCURESTI FILARET all,0.20149519401922392,0.9066683676659942,6.738029698164506,0.049064388340462915
BUCURESTI FILARET spring,0.23285899094437257,0.9234041238325715,5.737230422220413,0.02904687836806238
BUCURESTI FILARET summer,0.21635220125786164,0.9628903580604441,5.615694272443442,0.08032182990322195
BUCURESTI FILARET autumn,0.1551433389544688,0.9316441797216426,8.07503762960718,0.052896948422043365
BUCURESTI FILARET winter,0.1882716049382716,0.8394619617523194,8.087701444244173,-0.009832617384873359
BUCURESTI-BANEASA all,0.18778877887788778,0.8872618229852822,6.779800600493938,0.022754289221876233
BUCURESTI-BANEASA spring,0.19904076738609114,0.9044674734677994,5.6228855057515545,0.020837766015712578
BUCURESTI-BANEASA summer,0.20327102803738317,0.8441607545053581,6.729999133338377,-0.04108805460846684
BUCURESTI-BANEASA autumn,0.1494435612082671,0.9065854490179106,8.208424507144713,0.026234251603016776
BUCURESTI-BANEASA winter,0.189873417721519,0.9076516922401959,7.1283328754201465,0.024422457288804794
BURGAS all,0.20315505963832242,0.9093688853189357,6.7829003749117565,0.09130941628435531
BURGAS spring,0.21853388658367912,0.8992916643703225,5.846520795088285,0.034671549480605454
BURGAS summer,0.17990275526742303,0.8604362236157667,8.615641607112972,0.09277038833894015
BURGAS autumn,0.18629173989455183,1.0037945043757945,7.2796386970158675,0.04067138464438788
BURGAS winter,0.2217391304347826,0.8858986029177159,6.145634142094122,0.11209134842465268
BURGOS AEROPUERTO all,0.28702904802991086,0.8645101660846377,7.550042084955861,0.061466391755225065
BURGOS AEROPUERTO spring,0.3177664974619289,0.8293115064884163,6.81109362727728,-0.03691215173920091
BURGOS AEROPUERTO summer,0.1562021439509954,0.9356087717502097,9.836770572250114,0.07311722793529311
BURGOS AEROPUERTO autumn,0.30149597238204834,0.8235431712735877,7.462446234401319,0.0318959317945757
BURGOS AEROPUERTO winter,0.3309278350515464,0.851518973554191,7.1488294631525005,0.006474203385539269
BURSA all,0.2462517037710132,0.858431915413204,7.248370687770401,0.16782207743096667
BURSA spring,0.23547880690737832,0.7571686951578589,7.941897860007457,-0.02878585367500296
BURSA summer,0.14331210191082802,1.1137554404349905,12.849548903191836,0.1384808096489852
BURSA autumn,0.22692307692307692,0.7745622148432351,9.162079034042655,-0.07457202575731821
BURSA winter,0.3136986301369863,0.8602307323045275,5.121977054263092,-0.0025097288360776213
CADIZ all,0.2169548243167875,0.8810917718000982,9.249087489584388,0.406909571115699
CADIZ spring,0.20220588235294118,0.8503506921912926,10.138742513048484,0.45289203877541484
CADIZ summer,0.047058823529411764,0.757725198039223,91.73427871285038,-0.49999999999999994
CADIZ autumn,0.2157258064516129,0.7609498578917001,11.677191689042695,-0.05475433579020835
CADIZ winter,0.25149700598802394,0.915106748315233,8.001311257967245,0.12076082182578474
CALAMOCHA  AERODROMO all,0.21556122448979592,0.927141541517075,7.558033251394182,0.10976597844395176
CALAMOCHA  AERODROMO spring,0.288135593220339,0.8718369429347278,7.18821266997981,-0.12082625202205459
CALAMOCHA  AERODROMO summer,0.16147308781869688,0.9704151216002022,8.167533451289566,0.17394497373116122
CALAMOCHA  AERODROMO autumn,0.19428571428571428,0.9763548733440369,7.7308425774973815,0.12208142777628145
CALAMOCHA  AERODROMO winter,0.19592875318066158,0.8270083047625465,8.511347338766933,0.08211332362751127
CALARASI all,0.19350399119185246,0.8861329479692852,7.139600956527842,0.03623721072718495
CALARASI spring,0.22391084093211752,0.8873364591893812,5.889509119555501,0.07536001517760481
CALARASI summer,0.18756476683937823,0.850171858491641,7.552648084793766,-0.014249195210481898
CALARASI autumn,0.16015625,0.9346741816206334,8.53456907701327,0.0016567630147646495
CALARASI winter,0.1949616648411829,0.9319550010967004,6.429717460315357,0.09200802697366282
CAMPDEVANOL all,0.230945558739255,0.9103820784891993,6.272672493706469,0.08767985180403874
CAMPDEVANOL spring,0.26680455015511895,0.7892769087452334,6.217270086412679,-0.09818398365207497
CAMPDEVANOL summer,0.2548076923076923,0.8290094014658737,5.827839063262973,-0.044360292292229
CAMPDEVANOL autumn,0.20332936979785968,0.9816738907355216,6.7815762772205535,0.07117727652465651
CAMPDEVANOL winter,0.17445482866043613,1.00647681855771,8.437419525793484,0.11043324320557733
CAMPI all,0.2613065326633166,0.8810439533799085,7.874670463093814,0.07588637558516899
CAMPI spring,0.2714285714285714,1.0574422075072296,5.227817869038274,0.14064456535275283
CAMPI summer,0.12962962962962962,0.9291916667018689,13.366012735885803,-0.03758603869225828
CAMPI autumn,0.2631578947368421,0.889352135421535,7.941643220405059,-0.045429970480871024
CAMPI winter,0.34137291280148424,0.801367825849503,6.351626852059329,0.06213163381877384
CANAKKALE all,0.19863013698630136,0.9329655105426576,7.269165554368955,0.28983995901751364
CANAKKALE spring,0.21035058430717862,0.923307553977543,7.800264645219171,0.2186612101344951
CANAKKALE summer,0.08520179372197309,0.7898528083235035,30.938710420271466,-0.10056682620560843
CANAKKALE autumn,0.15536105032822758,0.9554946812669838,8.428631185277153,-0.00889383505009486
