Unnamed: 0,souid,city,country,lat,lon,city_key,years_mode,years_with_data,nan_fraction,total_rows_post_threshold
181,185277,KOECKTE,DE,52.52305555555555,11.12888888888889,,distinct_years,57,0.0,20697
123,124090,HUELL,DE,48.60277777777778,11.678055555555554,,distinct_years,80,0.0,29098
349,187801,SALZMUENDE,DE,51.53305555555556,11.833055555555555,,distinct_years,57,0.0,20697
392,181913,BENEDIKTBEUERN,DE,47.70583333333334,11.41388888888889,,distinct_years,80,0.0,29098
73,188251,SELSINGEN,DE,53.37055555555556,9.219166666666666,,distinct_years,80,0.0,29098
235,182689,DAHLEM-SCHMIDTHEIM,DE,50.41138888888889,6.561388888888889,,distinct_years,80,0.0,29098
545,126826,NURNBERG-BUCHENBUEHL,DE,49.501666666666665,11.108055555555556,,distinct_years,80,0.0,29098
435,186385,GROSSENHAIN-STROGA,DE,51.34333333333333,13.535277777777775,,distinct_years,56,0.0,20273
439,189181,WACHSTEDT,DE,51.29194444444444,10.25,,distinct_years,57,0.0,20697
138,183169,TACHERTING-SPREIT,DE,48.08888888888889,12.506666666666666,,distinct_years,80,0.0,29098
254,184191,HAINA (KLOSTER),DE,51.03305555555556,8.983055555555556,,distinct_years,75,0.0,27272
65,123214,AROLSEN-NEU BERICH,DE,51.38555555555556,9.083055555555555,,distinct_years,58,0.0,21063
219,185833,LOEWENBERG/MARK,DE,52.895,13.15638888888889,,distinct_years,75,0.0,27272
485,184287,HANNBERG,DE,49.63305555555556,10.9,,distinct_years,80,0.0,29098
133,185327,KOENIGSWARTHA,DE,51.311388888888885,14.334166666666668,,distinct_years,61,0.0,22158
398,180937,BITTERFELD,DE,51.63305555555556,12.316666666666666,,distinct_years,80,0.0,29098
614,184859,IBURG-GLANE BAD,DE,52.145,8.045555555555556,,distinct_years,80,0.0,29098
28,187177,SUEDERHOLZ-NEUENDORF,DE,54.10305555555556,13.153055555555556,,distinct_years,55,0.0,19967
286,183123,ELSENFELD-RUECK,DE,49.83166666666667,9.208055555555555,,distinct_years,80,0.0,29098
420,184381,HAUNETAL-WEHRDA,DE,50.73805555555556,9.660555555555556,,distinct_years,80,0.0,29098
0,186597,ALTENSTADT/WALDNAAB,DE,49.71416666666667,12.170833333333333,,distinct_years,80,0.0,29098
36,182997,EDERMUENDE-BILSTEIN,DE,51.22555555555556,9.366388888888888,,distinct_years,75,0.0,27272
650,189805,WOLFSEGG,DE,49.10777777777778,11.971666666666668,,distinct_years,80,0.0,29098
462,188105,SCHROZBERG-SPIELBACH,DE,49.38305555555556,10.066666666666666,,distinct_years,80,0.0,29098
98,124990,BAMBERG-ALTENBURG,DE,49.88166666666667,10.870555555555557,,distinct_years,80,0.0,29098
287,129934,WASSERBURG,DE,48.05805555555556,12.221666666666668,,distinct_years,77,0.0,28002
293,188017,SCHOEFWEG,DE,48.836666666666666,13.230555555555556,,distinct_years,80,0.0,29098
160,190033,GRUENBERG/HESSEN,DE,50.5925,8.961666666666666,,distinct_years,80,0.0,29098
460,182245,BOENNIGHEIM,DE,49.03666666666666,9.086944444444445,,distinct_years,75,0.0,27272
612,189629,WILDUNGEN BAD-ARMSFELD,DE,51.05,9.066666666666666,,distinct_years,80,0.0,29098
574,186209,MOEHNESEE (MOEHNETALSPERRE),DE,51.4925,8.06388888888889,,distinct_years,80,0.0,29098
595,183779,GOERITZ,DE,53.40555555555555,13.908055555555556,,distinct_years,75,0.0,27272
46,126850,NURTINGEN,DE,48.63305555555556,9.326944444444443,,distinct_years,71,0.0,25811
482,186835,OBERURSEL,DE,50.2,8.583055555555555,,distinct_years,80,0.0,29098
