,souid,city,country,lat,lon,city_key,years_mode,years_with_data,nan_fraction,total_rows_post_threshold
1377,100735,ZARAGOZA AEROPUERTO,ES,41.660555555555554,-1.0041666666666669,,distinct_years,80,0.0,29098
1387,266646,MONTSERRAT,ES,41.594166666666666,1.8391666666666668,,distinct_years,56,0.0,20273
1392,104957,ESPOEY,FR,43.24805555555556,-0.155,,distinct_years,80,0.0,29098
1410,266850,CAMPDEVANOL,ES,42.22277777777778,2.1669444444444443,,distinct_years,76,0.0,27637
1432,120305,TORREJON DE ARDOZ,ES,40.48833333333334,-3.4433333333333334,,distinct_years,65,0.0,23619
1471,268470,SANTILLANA DEL MAR  ALTAMIRA,ES,43.37694444444445,-4.1241666666666665,,distinct_years,76,0.0,27637
1473,147775,SFAX EL-MAOU,TN,34.72,10.68,,distinct_years,80,0.0,29098
1483,104894,MARSEILLE OBS. PALAIS-LONCHAMP,FR,43.305,5.396666666666667,,distinct_years,80,0.0,29098
1506,119792,ASTURIAS AEROPUERTO,ES,43.56666666666667,-6.0441666666666665,,distinct_years,58,0.0,20850
1521,104890,MARIGNANE,FR,43.437777777777775,5.215833333333333,,distinct_years,80,0.0,29098
1535,105250,PALERMO,IT,38.11027777777778,13.351388888888888,,distinct_years,80,0.0,29098
1536,119765,ALBACETE BASE AEREA,ES,38.95416666666667,-1.856388888888889,,distinct_years,80,0.0,29098
1544,106207,MONTPELLIER-AEROPORT,FR,43.57666666666667,3.963055555555556,,distinct_years,80,0.0,29098
1545,120062,CUENCA,ES,40.066944444444445,-2.131666666666667,,distinct_years,75,0.0,27272
1546,256369,BALIKESIR,TR,39.62,27.92,,distinct_years,76,0.0,27637
1554,120521,SORIA,ES,41.775,-2.483055555555556,,distinct_years,80,0.0,29098
1577,257167,ORYAHOVO,BG,43.68277777777777,23.966666666666665,,distinct_years,60,0.0,21673
1584,100552,GENOA,IT,44.41444444444444,8.926388888888889,,distinct_years,80,0.0,29098
1587,147713,SETIF,DZ,36.18,5.4,,distinct_years,80,0.0,29098
1601,268338,FOLGOSO DO COUREL,ES,42.58833333333334,-7.191666666666667,,distinct_years,61,0.0,22099
1604,147770,TUNIS-CARTHAGE,TN,36.830000000000005,10.23,,distinct_years,80,0.0,29098
1607,256418,AKHISAR,TR,38.80888888888889,27.83388888888889,,distinct_years,63,0.0,22889
1609,104124,BASTIA,FR,42.54055555555556,9.485277777777776,,distinct_years,79,0.0,28613
1615,118454,BEN GUERIR,MA,32.11666666666667,-7.883055555555556,,distinct_years,75,0.0,26968
1625,147707,ALGIERS-CAP CAXINE,DZ,36.8,3.04,,distinct_years,80,0.0,29098
1638,120053,CORDOBA AEROPUERTO,ES,37.848888888888894,-4.846666666666667,,distinct_years,67,0.0,24260
1640,147751,DERNA,LY,32.76,22.66,,distinct_years,80,0.0,29098
1649,120260,LUGO AEROPUERTO,ES,43.11083333333333,-7.4575,,distinct_years,75,0.0,27272
1665,100901,CALARASI,RO,44.2,27.33305555555556,,distinct_years,80,0.0,29098
1669,257335,BURGAS,BG,42.57,27.515,,distinct_years,73,0.0,26451
1673,105196,LASTOVO,HR,42.766666666666666,16.899444444444445,,distinct_years,79,0.0,28399
1696,267990,VIMIANZO,ES,43.0575,-9.046666666666669,,distinct_years,50,0.0,17867
1700,256250,GOKCEADA,TR,40.18277777777777,25.9,,distinct_years,53,0.0,19236
1716,256943,TATOI,GR,38.10888888888889,23.78388888888889,,distinct_years,60,0.0,21489
1719,147706,ALGIERS-BOUZAREAH,DZ,36.8,3.03,,distinct_years,80,0.0,29098
1737,108892,CONSTANTA,RO,44.22,28.63,,distinct_years,65,0.0,23619
1749,257202,SVICHTOV,BG,43.61666666666667,25.35,,distinct_years,73,0.0,26482
1770,155315,LLEIDA-ESCORXADOR,ES,41.61333333333334,0.6180555555555556,,distinct_years,80,0.0,29098
1785,120350,PAMPLONA,ES,42.81777777777778,-1.6380555555555556,,distinct_years,73,0.0,26298
1789,147709,FORT NATIONAL,DZ,36.63,4.2,,distinct_years,80,0.0,29098
1796,100239,LARISSA,GR,39.65,22.45,,distinct_years,71,0.0,25811
1818,147731,SIWA,EG,29.2,25.316666666666663,,distinct_years,80,0.0,29098
1824,191210,BASSACUTENA,IT,41.10944444444445,9.261388888888888,,distinct_years,80,0.0,29098
1839,191293,GUARDA,PT,40.53,-7.229166666666667,,distinct_years,80,0.0,29098
1856,270582,NAVALVILLAR DE PELA,ES,39.10305555555556,-5.461388888888889,,distinct_years,76,0.0,27637
1889,101043,ALACANT/ALICANTE,ES,38.3725,-0.4941666666666666,,distinct_years,80,0.0,29098
1890,100915,PRILEP,MK,41.33305555555556,21.566666666666663,,distinct_years,78,0.0,28033
1895,119855,IBIZA  AEROPUERTO,ES,38.87638888888889,1.3841666666666663,,distinct_years,80,0.0,29098
1897,119738,VITORIA AERODROMO,ES,42.84944444444445,-2.6558333333333333,,distinct_years,80,0.0,29098
1899,147769,TUNIS,TN,36.8,10.17,,distinct_years,80,0.0,29098
1903,119909,BURGOS AEROPUERTO,ES,42.35666666666667,-3.620277777777778,,distinct_years,80,0.0,29098
1905,147714,ORAN-CAP FALCON,DZ,35.77,-0.8,,distinct_years,80,0.0,29098
1907,155411,DUBROVNIK,HR,42.56,18.27,,distinct_years,66,0.0,23650
1918,105235,ARGOSTOLI,GR,38.11666666666667,20.48305555555556,,distinct_years,68,0.0,24715
1924,147718,BISKRA,DZ,34.85,5.72,,distinct_years,80,0.0,29098
1929,257223,SILISTRA,BG,44.11666666666667,27.266666666666666,,distinct_years,73,0.0,26237
1938,257349,SNEJANKA (TOP/SOMMET),BG,41.66666666666666,24.68277777777778,,distinct_years,73,0.0,26421
1940,120386,PALENCIA  OBSERVATORIO,ES,42.005,-4.529166666666667,,distinct_years,75,0.0,27272
1941,120296,GETAFE,ES,40.299166666666665,-3.721944444444445,,distinct_years,75,0.0,27272
1958,256096,SARIYER,TR,41.132777777777775,29.066666666666663,,distinct_years,61,0.0,22038
1963,256110,GOLCUK/DUMLUPINAR,TR,40.66666666666666,29.83277777777778,,distinct_years,63,0.0,22889
1975,269898,SOTILLO DE LA ADRADA,ES,40.28833333333333,-4.590555555555556,,distinct_years,72,0.0,26117
1983,100672,COIMBRA / INST. GEOFIS.,PT,40.21305555555556,-8.455,,distinct_years,80,0.0,29098
1995,119900,BARCELONA AEROPUERTO,ES,41.29277777777778,2.0697222222222225,,distinct_years,80,0.0,29098
2005,191206,AGLIENTU,IT,41.07805555555556,9.112777777777778,,distinct_years,80,0.0,29098
2006,155185,ZADAR,HR,44.13,15.205555555555556,,distinct_years,65,0.0,23619
2009,256600,DENIZLI,TR,37.782777777777774,29.08277777777778,,distinct_years,53,0.0,19236
2013,147750,SHAHAT,LY,32.79972222222222,21.88,,distinct_years,80,0.0,29098
2015,257209,SHUMEN,BG,43.266666666666666,26.93277777777778,,distinct_years,61,0.0,21977
2018,101035,ALICANTE-ELCHE AEROPUERTO,ES,38.282777777777774,-0.5705555555555556,,distinct_years,59,0.0,21428
2030,147777,GABES,TN,33.88,10.1,,distinct_years,80,0.0,29098
2036,256551,CIGLI,TR,38.51277777777778,27.01,,distinct_years,76,0.0,27637
2041,100563,ROMA CIAMPINO,IT,41.78305555555556,12.583055555555555,,distinct_years,75,0.0,27272
2054,147740,NALUT,LY,31.87,10.98,,distinct_years,80,0.0,29098
2070,112287,OUARZAZATE,MA,30.93,-6.9,,distinct_years,61,0.0,21915
2082,273342,VALLE DE HECHO  HECHO,ES,42.74055555555556,-0.7505555555555555,,distinct_years,70,0.0,25355
2110,112282,MIDELT,MA,32.68,-4.73,,distinct_years,61,0.0,21915
2139,147768,BIZERTE KAROUBA,TN,37.25,9.8,,distinct_years,80,0.0,29098
2143,120629,DAROCA,ES,41.11416666666667,-1.41,,distinct_years,80,0.0,29098
2156,171640,CAP CEPET,FR,43.07916666666667,5.940555555555556,,distinct_years,58,0.0,20789
2157,135039,ORAN-HOPITAL MILITAIRE,DZ,35.72972222222222,-0.65,,distinct_years,80,0.0,29098
